"id_pessoa";"idade_pessoa";"salario_pessoa";"propriedade_pessoa";"tempo_trabalho";"id_emprestimo";"motivo_emprestimo";"nivel_emprestimo";"total_emprestimo";"taxa_juros";"possibilidade_inadimplencia";"renda_percentual";"id_historico";"inadimplencia_historico";"tempo_ultimo_credito"
"l1Q6uewq-icSh";24;103000;"Hipotecada";8.0;"nzYZR2uU-JhcK";"Pessoal";"B";8000;10.74;0;0.08;"Z6Q1EgJd-Mcdi";"nao";3
"SAEUImFs-iXAT";35;50000;"Hipotecada";5.0;"6bKNACAB-up1b";"Melhora do lar";"C";6000;13.49;0;0.12;"45kngxnO-kwyt";"nao";6
"GF79eYM4-xcMP";22;32000;"Alugada";1.0;"UJDU4wt1-yGWW";"Educativo";"D";5400;16.29;1;0.17;"DOMft98J-Z3qm";"sim";2
"k8ulBFhb-YH5F";29;24000;"Hipotecada";7.0;"4yMDblss-nJt8";"Medico";"A";10000;0.0;0;0.42;"DwdrMYTa-8pLl";"nao";6
"YIHuehGl-eWpc";29;175000;"Hipotecada";2.0;"IHcxHFyD-ddZE";"Melhora do lar";"A";10000;0.0;0;0.06;"CRO9thKh-NYDn";"nao";9
"dejgBgka-cvSN";25;12996;"Propria";1.0;"Y7yIUHWQ-138k";"Medico";"D";3600;14.59;1;0.28;"WNto6491-J99J";"nao";3
"pB5tO95i-S3K9";32;48000;"Alugada";3.0;"EXrxXz9O-HOTs";"Pagamento de debitos";"C";9000;13.99;0;0.19;"A4YTvklP-hZTH";"nao";8
"8AYaI8lG-eovU";30;57000;"Hipotecada";6.0;"jAAgFdfl-6Y7e";"Pessoal";"A";4000;8.0;0;0.07;"5s9U5yce-1d0J";"nao";7
"OkOjGYdY-cbh2";42;85000;"Alugada";3.0;"MGhhCMif-2t4J";"Empreendimento";"C";5750;12.99;0;0.07;"3xNzMDQK-vFI3";"sim";15
"Wdeij694-MIlJ";29;120000;"Hipotecada";3.0;"zOSvqZWR-sqDX";"Educativo";"B";20000;11.71;0;0.17;"YPC9Xmbt-8bUq";"nao";5
"SnPZ9sS7-m50a";24;25000;"Hipotecada";3.0;"aMoqyZ6H-soNo";"Empreendimento";"A";9000;7.14;0;0.36;"6A9m9HOG-1ZuR";"nao";4
"WXg2X7ay-4bg1";34;120000;"Alugada";0.0;"WXzIIE8A-nTiU";"Pagamento de debitos";"A";2000;0.0;0;0.04;"1luoSXcH-95hi";"nao";3
"ERBmpIPN-lMaW";24;28500;"Alugada";3.0;"5XRNp8To-RvH8";"Pagamento de debitos";"B";2500;11.36;0;0.09;"Cic79wRE-9nWL";"nao";4
"ER2fcnk6-XhNN";22;80000;"Hipotecada";5.0;"P6kekLZk-o2vx";"Empreendimento";"B";9500;11.71;0;0.12;"zumQqjxf-0gct";"nao";3
"F3ZPAIUX-FkIM";31;30000;"Alugada";0.0;"hDW1Xe27-WuzF";"Educativo";"D";6600;16.49;1;0.22;"Bw3siA6F-Uqzz";"sim";8
"QO0MxJ5C-J0Qj";21;30000;"Alugada";2.0;"9QA7jdmD-WbIq";"Medico";"A";4150;6.76;0;0.14;"GTYNk7NY-DMUO";"nao";3
"imn9ic93-oSMp";31;48996;"Hipotecada";0.0;"eH8Odfuj-RT5T";"Melhora do lar";"D";8500;14.11;1;0.17;"TfaAaHAR-4gI0";"sim";9
"oiqjo4kK-2ieZ";26;58000;"Alugada";10.0;"npEeneRK-zG8l";"Educativo";"C";9600;13.99;0;0.17;"r8GH3oaq-pSQp";"sim";4
"AaDuh9Ug-p1By";25;191000;"Hipotecada";1.0;"681AjXXg-yUw5";"Medico";"B";10000;12.53;0;0.05;"P9shydKC-WLnl";"nao";4
"mtKsQFYC-LKKm";26;35000;"Alugada";10.0;"IDluiXvd-GiaF";"Educativo";"B";12875;0.0;1;0.37;"GC5pNzCD-5LGU";"nao";3
"tc2gzUJ2-Dh1s";31;135000;"Hipotecada";9.0;"RhTgN0QY-C23h";"Empreendimento";"A";10000;7.14;0;0.07;"s5Z6MPWk-5xgq";"nao";6
"JlUHLUZA-rfPy";24;64000;"Hipotecada";8.0;"woPqremP-ROOh";"Educativo";"A";5000;7.88;1;0.08;"kXb3MoC4-CC80";"nao";4
"cK9KSdTW-SABw";28;150000;"Hipotecada";12.0;"QiGEuof0-QhSt";"Educativo";"C";10000;0.0;0;0.07;"QjtP3Yff-14AH";"sim";6
"PKTQBXKt-OXPB";25;110000;"Hipotecada";7.0;"NBgultND-bFl2";"Educativo";"A";8000;7.14;0;0.07;"i395QUYN-5Xhf";"nao";4
"pzB2WCoa-gXSS";28;95000;"Hipotecada";5.0;"tRWrqNFB-5hR7";"Empreendimento";"A";1800;0.0;0;0.07;"GR7jm1kY-7pku";"";4
"bQv6mUQ9-3Mbf";39;60000;"Hipotecada";1.0;"5x0t61fW-ghYo";"Educativo";"C";17000;14.65;0;0.28;"gOqEuvYZ-T1za";"sim";14
"zMqqJNJb-32Dk";21;131579;"Alugada";1.0;"pLeboaWw-b4Xf";"Outro";"A";25000;16.07;0;0.19;"gx1Lqjxf-f2U6";"sim";3
"vX0220AL-N1Xc";28;48000;"Alugada";5.0;"2OuPu8qh-deSt";"Pagamento de debitos";"B";15000;11.99;1;0.31;"KSWNLJ5O-9B30";"nao";10
"DwRsBiGO-lo06";36;31000;"Alugada";3.0;"e4SAwL8Q-7lT7";"Empreendimento";"A";7100;8.9;0;0.23;"7KJaotAU-2GrE";"nao";12
"TJvond5k-OZsJ";22;96000;"Hipotecada";3.0;"Sq9jFOjZ-nd4A";"Educativo";"C";11400;13.04;0;0.12;"LOrdD3hM-coOU";"sim";2
"BYmg43Fi-Mvaj";21;40000;"Alugada";3.0;"i536G5cd-egh3";"Educativo";"D";7000;14.46;0;0.17;"M2sgMabi-q39B";"nao";3
"LmwskARR-HyA3";21;41900;"Alugada";2.0;"0YpSbTgj-CZKT";"Empreendimento";"C";16000;12.84;1;0.38;"j3jnnG3T-iF3N";"sim";2
"4zf4iTpX-Ju8u";29;101000;"Propria";6.0;"eEisjK1m-T4wm";"Melhora do lar";"B";12000;12.18;0;0.12;"YaMTpkN1-NQCk";"nao";8
"8Fbppelu-eKnR";23;42000;"Alugada";4.0;"W3QjfBO2-jmhO";"Pessoal";"A";10000;5.42;0;0.24;"S9zMallF-rruw";"nao";3
"7K2Y0gam-BFAD";31;215000;"Hipotecada";2.0;"AFRsOe1g-ZMCv";"Medico";"B";15000;10.99;0;0.07;"DywZmbUm-P5Jj";"nao";10
"hRO9kOL5-Y29L";26;65000;"Hipotecada";11.0;"qBv7Ad3u-unNs";"Empreendimento";"A";12000;7.9;0;0.18;"J7M98CyW-tebW";"nao";2
"KI4650uQ-ACBq";24;111239;"Hipotecada";1.0;"zocNNpx5-2jSB";"Educativo";"A";14000;7.9;0;0.13;"hOqbstIi-ruOB";"nao";4
"WqgH0WAS-oyzU";24;60000;"Alugada";2.0;"uoezEWJq-SLXA";"Pagamento de debitos";"E";25000;0.0;1;0.42;"cpNNIy77-kuMX";"sim";2
"zAGYhdqJ-pD7D";30;43000;"Alugada";1.0;"4cXZj28b-TIKj";"Medico";"A";3200;8.0;0;0.07;"4pfUPfsE-8Ltp";"nao";5
"RJRYhR8z-Lq2G";21;68004;"Hipotecada";5.0;"lklKeiRj-ugSo";"Pagamento de debitos";"B";16000;11.26;0;0.24;"NGJInTnJ-WbA5";"nao";3
"NGFGiGBt-qzAR";25;25000;"Alugada";5.0;"nAcEqf1T-TwJv";"Medico";"B";9000;11.49;1;0.36;"2C0wGh9W-akJo";"nao";2
"juwMpikI-PHjn";36;40000;"Propria";4.0;"0ae6R2mT-ZRFL";"Empreendimento";"B";14000;10.99;0;0.35;"SibJdNKl-Uz6I";"nao";16
"yqR4vYfF-k8B1";24;55000;"Hipotecada";8.0;"9xQKOhnz-LrpZ";"Medico";"B";15000;9.91;0;0.27;"JoCZcfDw-wRPD";"nao";3
"W9xNZtvO-qLBS";21;52000;"Hipotecada";5.0;"YRkJSwLT-uBQK";"Pagamento de debitos";"A";13250;5.99;0;0.25;"YIIUhXxw-O8If";"nao";2
"noXp5ZzA-7kbv";29;50000;"Propria";3.0;"MHm6RLEs-ml59";"Medico";"B";4200;9.91;0;0.08;"zsgGPSlg-GAvl";"nao";6
"9Zt0XpIL-gGtx";27;12000;"Propria";0.0;"JaQQSRMK-MlFG";"Educativo";"D";8125;14.42;1;0.68;"GEqKtWh8-ItAd";"sim";5
"RYzaKgT3-rCwx";29;35000;"Alugada";12.0;"BldAdx3r-PA8T";"Pagamento de debitos";"A";1800;5.42;0;0.05;"ASkICWNk-c9NY";"nao";7
"xnzIpFAr-XXwH";38;104800;"Hipotecada";6.0;"TzCPj24J-ca8m";"Melhora do lar";"A";14000;6.03;0;0.13;"UQob4enS-T6vi";"nao";11
"vM7jxZHX-hPQf";29;32997;"Alugada";7.0;"XJDd9tQg-onCB";"Pagamento de debitos";"A";10000;5.79;0;0.3;"jvXpnOTv-W8gD";"nao";7
"uhoTm6sf-eMyr";24;33996;"Alugada";2.0;"BPwQZxLO-2wg2";"Educativo";"D";5000;14.96;1;0.15;"vCjDmWK7-XB2N";"sim";4
"N3vLp5HW-vITL";22;24000;"Propria";1.0;"QsvUYivH-K8iH";"Empreendimento";"A";8000;7.51;0;0.33;"OuqQBhde-wnex";"nao";3
"g1GDvUjj-IoJj";23;45000;"Alugada";1.0;"2hnMHX0e-caej";"Pagamento de debitos";"C";2000;13.49;0;0.04;"SkfqfEzL-lKFD";"nao";2
"uuxfZCc3-yREE";31;60000;"Hipotecada";5.0;"uCmuTGJI-lgY4";"Medico";"A";7200;6.03;0;0.12;"99KTbbun-q4wt";"nao";8
"zGFOoqXu-b5hx";33;100000;"Hipotecada";16.0;"KHyBcn07-c4j3";"Medico";"B";6000;8.94;0;0.06;"AsuGeRgH-sksZ";"nao";12
"355PvPHL-0vhC";29;90000;"Hipotecada";14.0;"x8B2bLLP-a4WB";"Melhora do lar";"B";15000;11.11;0;0.17;"A4wzjCDZ-t27i";"nao";9
"7vMaC87f-hFHi";23;95004;"Alugada";2.0;"ltPCr6sE-FXps";"Educativo";"A";5000;9.63;0;0.05;"jjmTp2gM-kyRe";"nao";4
"eLcbSsOy-pOY1";35;27996;"Alugada";14.0;"XgoYMTuX-dIJ4";"Medico";"B";8500;11.58;0;0.3;"GDenwifY-iS7B";"nao";8
"t59ApC2m-YYFd";30;28800;"Alugada";1.0;"BztZjz7l-APOx";"Pagamento de debitos";"C";8000;12.73;0;0.28;"FlYfM4NA-7CZJ";"nao";10
"01mYIc8o-5SsX";22;45000;"Alugada";3.0;"zzGGi9ec-u2LF";"Empreendimento";"B";5000;12.42;0;0.11;"2l0WvCkT-vCj9";"nao";2
"kGgQ5Ztm-1Cai";31;52000;"Alugada";4.0;"Flh8tBUI-8ZwW";"Empreendimento";"B";10000;11.83;0;0.19;"UQ7Y34SQ-UanA";"nao";7
"oXNrwSN4-pHGd";28;115000;"Hipotecada";11.0;"eouval6d-Q1hc";"Melhora do lar";"A";5000;7.51;0;0.04;"hMRKJ4gx-1Mf2";"nao";8
"ygjtMrWx-nI9B";23;34000;"Alugada";0.0;"xMWvaKGM-fRSZ";"Medico";"A";1000;7.37;0;0.03;"A6DR8gph-6ZRw";"nao";4
"OD9kaNuK-wF7Y";25;42000;"Alugada";2.0;"fTp5F21g-PBe8";"Medico";"B";6600;10.65;0;0.16;"IaHdzQXy-jcdy";"nao";4
"WOm68ybv-4qfz";24;54000;"Propria";8.0;"j48vDxzd-WzCt";"Pessoal";"B";10000;10.99;0;0.19;"TNUugZc5-GAmi";"nao";3
"duaNutsR-3WUc";28;61000;"Alugada";9.0;"x5vU1QNy-Ef7b";"Pessoal";"B";25000;9.91;1;0.41;"FQ6lnvgr-2l6q";"nao";7
"B2HK6U1k-gRaE";34;50725;"Alugada";1.0;"Bxx6AYGv-xK8v";"Pessoal";"C";5400;13.16;0;0.11;"rAZPhS1B-Olbf";"sim";9
"m0EsrCQA-UxF8";23;74000;"Alugada";3.0;"ybSH8enN-9zbG";"Medico";"B";25000;10.36;1;0.34;"9UdFSUoj-JTbn";"nao";2
"Yu43ay9a-ReKe";31;65000;"Hipotecada";4.0;"SoRUcWf1-Cyse";"Pagamento de debitos";"B";20000;11.71;0;0.31;"QDWjg9p2-RtUT";"nao";9
"SniIxJ44-alJb";23;34000;"Alugada";7.0;"eJ081Ayo-Frym";"Educativo";"B";10000;10.36;1;0.29;"jOfMS80i-Zg5v";"nao";4
"3Fn6Bsv2-lENb";22;42996;"Alugada";2.0;"eWgmMLkK-ZBt8";"Pagamento de debitos";"C";14400;0.0;1;0.33;"En3WPrh1-l38m";"sim";4
"rz1EWsAa-qLPB";22;24449;"Propria";2.0;"vanxjNZ8-gDET";"Empreendimento";"B";1800;11.89;0;0.07;"187qtU8E-YHgw";"nao";4
"GbKFxr7D-JIO4";33;108000;"Alugada";11.0;"eYw1jU0w-hBNF";"Empreendimento";"B";3000;11.36;0;0.03;"KN2KKmsL-rJbv";"nao";5
"YcsNIdbf-tpgT";36;46000;"Alugada";2.0;"ZiIYXvD7-5Pca";"Pagamento de debitos";"C";10000;12.53;0;0.22;"uRyGLHSl-yawC";"nao";14
"SeJTCFwO-KrbQ";41;50000;"Alugada";0.0;"9mT4cjye-2LDX";"Pessoal";"B";6000;8.88;0;0.12;"CLOXuuct-rSpH";"nao";17
"G5aDf64O-PH6C";26;31104;"Alugada";1.0;"sH2uqDS7-NfhJ";"Pagamento de debitos";"B";4000;9.99;0;0.13;"zndaY8Bz-M4Os";"nao";3
"HYNz400D-rzsb";22;60000;"Propria";7.0;"eNAftsYx-hTla";"Empreendimento";"D";15000;16.49;0;0.25;"4QvCYJZz-Qww5";"sim";2
"AlyOGpcv-PZHy";47;52000;"Hipotecada";4.0;"mEo0vZSm-wd9v";"Pagamento de debitos";"A";12000;7.29;0;0.23;"CBcyCzmp-dZQA";"nao";13
"pKtpPsWm-gBb5";25;95000;"Alugada";4.0;"q7gXLqBB-y4RD";"Empreendimento";"B";15000;12.42;0;0.16;"gAv0hKgA-0syT";"nao";2
"4ePEsQ0Q-YPAT";22;76296;"Hipotecada";6.0;"a4Ei4NHR-M6JB";"Empreendimento";"A";18000;7.88;0;0.24;"P0QctpbZ-tA9E";"nao";3
"dcRQIdaK-ZrzX";31;100000;"Hipotecada";6.0;"AsZ6UB9S-jvQ3";"Melhora do lar";"C";13000;12.61;0;0.13;"4Ao59k8p-P36H";"nao";7
"qqBMyInS-aGKl";25;43000;"Alugada";2.0;"Q8H92GQ5-Fd74";"Empreendimento";"A";7800;7.14;0;0.18;"cjShcUOG-HxrO";"nao";3
"WXqkgy4i-lLX0";25;58020;"Alugada";9.0;"uIe8aQoy-hIqe";"Pessoal";"A";2000;6.91;0;0.03;"dlqxbvAI-6b0K";"nao";4
"F9a6bBd9-Xe2o";27;68000;"Alugada";4.0;"8HuvzhAq-k7Xi";"Melhora do lar";"A";8700;7.88;0;0.13;"L42AQtMx-SEGR";"nao";5
"lUBk5Wxb-yRTh";35;30000;"Alugada";0.0;"7Dxvjo5Z-Jkq2";"Educativo";"A";6475;5.42;0;0.22;"7fvOUWjo-u4wJ";"nao";7
"b7tdrgrW-ayvE";26;40000;"Alugada";1.0;"c2TKWh0I-ocZx";"Pessoal";"B";12000;11.58;0;0.3;"4inK3Tv4-C6LS";"nao";2
"Tvok7xAu-oB5c";23;50000;"Alugada";4.0;"GAtuyfvq-9kKD";"Pagamento de debitos";"B";6000;11.49;0;0.12;"HfsqwiRm-nB28";"nao";3
"c7N00Xkw-EjwP";25;61440;"Alugada";9.0;"TDkjPUqd-ndPx";"Empreendimento";"B";8000;10.36;0;0.13;"6Uah3ah8-rfUd";"nao";4
"gPzGTvzd-YCHw";22;29000;"Alugada";2.0;"FptECc0u-OiGF";"Educativo";"B";10500;9.99;1;0.36;"ME0OTs5h-qjMp";"nao";3
"gYjoo3jD-emAd";25;44000;"Hipotecada";4.0;"uDlmyeNO-dbNN";"Medico";"D";5550;14.11;1;0.13;"CAcJauAz-ctJX";"sim";4
"cG0aCPes-61zD";23;50000;"Hipotecada";3.0;"CjrqlOBY-C0rM";"Pessoal";"B";10000;10.99;0;0.2;"saYaqFAW-ePFO";"nao";3
"2qL2TpcA-3UO0";26;108000;"Hipotecada";4.0;"LoQ6fSUb-Oz9B";"Pessoal";"A";9000;5.79;0;0.08;"yyxAqFSr-rcKu";"nao";2
"zKhBXo2u-WqgH";23;70000;"Hipotecada";5.0;"oWxhfJ5z-XbcS";"Educativo";"B";20000;12.21;0;0.29;"dNdJZagZ-EYux";"nao";4
"SragtXBq-e1es";25;80140;"Hipotecada";4.0;"OfP5DP80-WTnh";"Pagamento de debitos";"B";11300;10.37;0;0.14;"vWBPETFN-WZbN";"nao";2
"DWSEWuzW-0YNY";28;34000;"Alugada";1.0;"EenI4oK7-W08Q";"Empreendimento";"B";4800;11.49;0;0.14;"wAxLWQ8O-powv";"nao";7
"6wjmTJ6Y-hQGF";22;78413;"Hipotecada";6.0;"PxNZBxYl-2e3i";"Educativo";"B";17500;10.65;0;0.22;"0xnnXI5T-xBOL";"nao";2
"JFCnlUKo-opAW";21;24000;"Hipotecada";0.0;"WqqAxdoR-mNAa";"Empreendimento";"A";3000;7.9;0;0.13;"uo02FqyD-sP5N";"nao";4
"4BCj5iMI-SvAr";27;22800;"Hipotecada";11.0;"dzApwnYM-OIBi";"Medico";"B";2500;10.99;0;0.11;"nAqbykfb-2whQ";"nao";10
"2E2Jp2gN-3Rc2";53;95000;"Propria";24.0;"0Y0rHbib-kYJ4";"Pessoal";"A";6000;5.42;0;0.06;"DfrYmDZi-YdO8";"nao";30
"hBn6Nj78-fvgu";26;31200;"Alugada";8.0;"w1JRom7y-y1od";"Pessoal";"A";5000;8.63;0;0.16;"2SebLJsQ-lj5F";"nao";2
"OUcAOZQh-aQLy";39;65000;"Hipotecada";3.0;"9dov9RBP-etrY";"Educativo";"D";6000;15.62;0;0.09;"LaJgumz0-dtyI";"sim";14
"NiumiXy3-ZCWU";25;45000;"Alugada";9.0;"k6gvpaPQ-hk69";"Pagamento de debitos";"B";12000;9.62;0;0.27;"R2MiB33I-ZKkD";"nao";3
"yrL27Gzn-imvW";31;65000;"Hipotecada";3.0;"zjwERmLe-r97O";"Pagamento de debitos";"A";10000;11.03;0;0.153846153;"uQdCArAk-ISO3";"nao";3
"9Gbo6GjU-I4vH";24;25000;"Alugada";0.0;"8g7OWEJO-Du7T";"Melhora do lar";"B";8500;12.21;1;0.34;"FpZNX7aC-n4LP";"nao";2
"e23slzE8-B0Ax";29;24960;"Alugada";13.0;"c048XsHF-y51I";"Empreendimento";"A";4000;5.42;0;0.16;"lllfq9ft-0KFp";"nao";6
"ds2jH5KJ-WuMF";22;81600;"Hipotecada";6.0;"7rquRb04-0CEL";"Pessoal";"A";1300;6.39;0;0.02;"Cn135ogy-bKDy";"nao";3
"AplH4Lwm-gyYK";25;90000;"Hipotecada";7.0;"H7WZlXS5-Rjyu";"Pagamento de debitos";"A";6000;7.14;0;0.07;"rZoiEpPc-bciv";"nao";3
"pMajKnu6-53f4";27;44640;"Alugada";0.0;"RpFauaAu-LzeN";"Medico";"B";12800;11.83;0;0.29;"QHGwl9TO-5WKP";"nao";9
"Q5dqB97I-TEjJ";24;85000;"Hipotecada";8.0;"UjQWv0nx-pw3f";"Educativo";"B";20000;11.11;0;0.24;"1G4XQSD0-EUYu";"nao";4
"CZWcNgWA-kbk4";26;87000;"Hipotecada";9.0;"MjTNYsmN-6qBc";"Pagamento de debitos";"C";25000;12.73;0;0.29;"FxGG9RvP-Le3z";"nao";2
"mvkJyvGc-yYuw";22;54000;"Alugada";4.0;"h0oDhLmM-OrEm";"Pagamento de debitos";"C";9000;15.96;0;0.17;"IKk1KTWI-y4IG";"sim";3
"WS5U2tKu-iGtE";22;43000;"Alugada";1.0;"nZJqWH9s-yKAW";"Empreendimento";"D";7500;14.96;1;0.17;"fJ0KRNk3-k0Rx";"nao";3
"Mucn0ump-Stue";24;78000;"Hipotecada";8.0;"BmUhdDn5-YUDX";"Pagamento de debitos";"A";3600;5.42;0;0.05;"skrBzl9k-6XSu";"nao";4
"F8sjbtYh-Ntuc";22;73000;"Hipotecada";6.0;"s23EevcN-d0JX";"Educativo";"B";7000;10.59;0;0.1;"q3SsWfhh-eib9";"nao";2
"LTD2XdcS-ZCv4";24;65000;"Hipotecada";6.0;"ob9Yrlfi-Ocpc";"Pessoal";"B";11000;11.49;0;0.17;"iBDB52Wo-4WAb";"nao";2
"IYKcjmRZ-EGj7";25;70000;"Alugada";5.0;"Y4YGCAT6-kdKz";"Educativo";"B";13225;16.11;0;0.188928571;"K6M9GKHr-JJWU";"sim";7
"K61MH9Be-kQJ1";32;230000;"Alugada";0.0;"JvkTGpaD-ra8i";"Melhora do lar";"A";15000;5.99;0;0.07;"zSExL9u6-EOE4";"nao";5
"5mRksQM9-eExJ";23;35500;"Alugada";2.0;"EWKeCA52-k771";"Melhora do lar";"D";9000;15.99;1;0.25;"AE9jiGaA-WlNL";"sim";2
"aJCQ5hY4-MiS6";22;104000;"Alugada";3.0;"q0bvJBPd-qrJN";"Medico";"C";15900;13.49;0;0.15;"uBExJeBT-hicI";"nao";2
"18UJRYaa-ZMs6";22;64312;"Hipotecada";4.0;"oSUPE75N-HwUi";"Empreendimento";"D";5000;14.91;0;0.08;"UfosSYa8-hY8Q";"sim";4
"c7nkcYEn-WoMN";36;50000;"Alugada";5.0;"eEJckkSg-PLwD";"Educativo";"A";6500;0.0;0;0.13;"LBcAufFd-37UY";"nao";15
"BAOYgg91-Dmlx";23;20664;"Alugada";4.0;"Txue7n0E-pQ4T";"Educativo";"C";4550;13.72;0;0.22;"Hcp70S5d-El0J";"sim";3
"qoGIpKHY-qEyQ";29;60000;"Alugada";13.0;"BH9qOpoC-Psvs";"Melhora do lar";"D";17000;14.96;0;0.28;"lmAkaOGs-iN3k";"nao";8
"sOhkjxha-2BpL";28;31200;"Alugada";3.0;"ytIdu6Om-focr";"Pagamento de debitos";"A";3600;6.39;0;0.12;"pltL0SOO-FhkN";"nao";7
"AKC68iDq-jfMA";22;30004;"Propria";6.0;"159d2zBS-vhU8";"Educativo";"A";7500;0.0;0;0.25;"NnraIP8x-FO0U";"nao";2
"n30qucW0-y8nf";30;36000;"Hipotecada";14.0;"2lJGIqQM-bp5M";"Melhora do lar";"B";7000;10.65;0;0.19;"thjENh4w-5DRM";"nao";5
"WxbsddLX-16Ok";34;60000;"Alugada";1.0;"A0wzG4hq-KJ7T";"Educativo";"B";10000;9.62;0;0.17;"xIZ02Rds-vthd";"nao";9
"19PcvNsb-Q2EX";22;30000;"Alugada";0.0;"YEt0gafB-dAdf";"Medico";"A";7000;8.9;0;0.23;"U52bX4kH-XWDk";"nao";4
"ilY2EZA8-vwR7";25;65000;"Alugada";2.0;"X9LO565m-zaEc";"Pagamento de debitos";"B";4200;0.0;0;0.06;"UFOpaRIg-2UvG";"nao";2
"F3Y67rIn-jckm";26;47000;"Alugada";0.0;"wErmE5GG-WOjr";"Melhora do lar";"D";25000;15.28;1;0.53;"Ecjh4AUO-UTRq";"sim";2
"WTaTWD7R-nB26";28;72000;"Hipotecada";9.0;"emllPw3q-SPlj";"Melhora do lar";"B";18000;11.89;0;0.25;"l45L15fR-YZxS";"nao";8
"Nd27XiBX-lXUd";32;160000;"Hipotecada";2.0;"T3wsKLZm-NLwO";"Medico";"B";3200;0.0;0;0.02;"PRJU1oaG-yona";"nao";5
"LPL286b5-nzmc";24;47000;"Alugada";8.0;"xTE1h5Kz-PsYS";"Pagamento de debitos";"B";8930;11.49;0;0.19;"aqy3O2yH-AIYH";"";4
"WWsDFeYW-ILfo";22;90000;"Hipotecada";6.0;"iPZw4isE-pQII";"Pagamento de debitos";"A";16000;6.03;0;0.18;"imr5pNYL-ahjh";"nao";3
"pwTzr4SQ-47xw";33;62400;"Alugada";4.0;"KGblymA5-FOvO";"Educativo";"B";15000;11.99;0;0.24;"AaFWnCZ5-rQWE";"nao";8
"tE2MMb33-ZtT7";34;89000;"Alugada";3.0;"j6eaWF98-rxdq";"Melhora do lar";"D";35000;18.25;1;0.39;"oJM66DQo-WPHF";"nao";8
"v0bZ8uAY-hxvk";30;75000;"Alugada";2.0;"Whr56GP6-egwr";"Medico";"C";6000;12.68;0;0.08;"UjTc82nd-qwG2";"nao";8
"bRYeof0L-cqHI";30;100000;"Alugada";13.0;"0T2YFLWb-IZze";"Pagamento de debitos";"A";12000;7.88;0;0.12;"0Y1a64ag-4RLW";"nao";9
